date,股票代码,open,close,high,low,volume,amount,amplitude,pct_change,change_amount,turnover_rate,stock_code,ma5,ma10,ma20,dif,dea,macd
2026-07-27,000869,16.61,16.8,16.91,16.55,14629,24569732.0,2.16,0.9,0.15,0.32,000869,16.895999999999997,16.865,16.506,-0.015611886543211995,-0.10487135917243975,0.17851894525845552
2026-07-28,000869,16.8,17.2,17.24,16.72,15254,25979878.17,3.1,2.38,0.4,0.34,000869,16.895999999999997,16.946,16.587,0.02084918082975662,-0.0797272511720005,0.20115286400351423
2026-07-29,000869,17.2,17.46,17.55,17.14,14206,24800010.0,2.38,1.51,0.26,0.31,000869,16.994,17.008000000000003,16.6695,0.06991868739456564,-0.04979806345868727,0.23943350170650582
2026-07-30,000869,17.4,17.8,17.88,17.35,17682,31391161.3,3.04,1.95,0.34,0.39,000869,17.182,17.086999999999996,16.761499999999998,0.13468917045936024,-0.012900616675077772,0.29517957426887603
2026-07-31,000869,17.68,17.85,17.87,17.53,12370,21895944.0,1.91,0.28,0.05,0.27,000869,17.422000000000004,17.189999999999998,16.8395,0.18788896009178657,0.027257298678295096,0.32126332282698294
2026-08-03,000869,17.75,17.82,17.95,17.7,11538,20528027.0,1.4,-0.17,-0.03,0.25,000869,17.625999999999998,17.261000000000003,16.898,0.22503535983124578,0.06681291090888523,0.3164448978447211
2026-08-04,000869,17.8,17.55,17.85,17.46,10913,19216386.0,2.19,-1.52,-0.27,0.24,000869,17.696,17.296,16.9705,0.2300356974068194,0.09945746820847207,0.26115645839669466
2026-08-05,000869,17.55,17.49,17.64,17.32,12312,21464714.0,1.82,-0.34,-0.06,0.27,000869,17.701999999999998,17.348,17.0265,0.22654552659102478,0.12487507988498261,0.20334089341208433
2026-08-06,000869,17.48,17.34,17.58,17.18,11641,20190006.58,2.29,-0.86,-0.15,0.26,000869,17.61,17.396,17.080000000000002,0.20926353490809646,0.1417527708896054,0.13502152803698214
2026-08-07,000869,17.44,17.54,17.68,17.15,29220,50993804.31,3.06,1.15,0.2,0.64,000869,17.548,17.485,17.142500000000002,0.20929315926012393,0.15526084856370911,0.10806462139282963
2026-08-10,000869,17.5,17.56,17.85,17.37,21681,38277198.51,2.74,0.11,0.02,0.48,000869,17.496,17.561,17.213,0.2085267035899463,0.16591401956895657,0.08522536804197944
2026-08-11,000869,17.51,17.44,17.59,17.29,15843,27614566.45,1.71,-0.68,-0.12,0.35,000869,17.474,17.585,17.2655,0.19597718187012347,0.17192665202918997,0.04810105968186701
2026-08-12,000869,17.48,17.57,17.6,17.32,10340,18065907.38,1.61,0.75,0.13,0.23,000869,17.49,17.595999999999997,17.302,0.1942819476808566,0.1763977111595233,0.035768473042666615
2026-08-13,000869,17.57,17.57,17.66,17.37,9015,15801635.43,1.65,0.0,0.0,0.2,000869,17.536,17.573,17.330000000000002,0.1907397334564358,0.1792661156189058,0.022947235675060018
2026-08-14,000869,17.57,17.23,17.57,17.19,9134,15811670.25,2.16,-1.94,-0.34,0.2,000869,17.474,17.511,17.3505,0.15866831509307033,0.17514655551373873,-0.03295648084133679
2026-08-17,000869,17.18,17.28,17.33,17.08,9315,16038624.0,1.45,0.29,0.05,0.2,000869,17.418,17.457,17.359,0.13572155352527204,0.1672615551160454,-0.06308000318154672
2026-08-18,000869,17.26,17.21,17.32,17.07,7891,13573634.85,1.45,-0.41,-0.07,0.17,000869,17.372,17.423000000000002,17.3595,0.1106125915730054,0.1559317624074374,-0.09063834166886398
2026-08-19,000869,17.21,16.91,17.25,16.91,9107,15503131.44,1.98,-1.74,-0.3,0.2,000869,17.240000000000002,17.365000000000002,17.3565,0.06574816164945219,0.13789504225584034,-0.14429376121277632
2026-08-20,000869,17.17,17.35,17.38,17.03,14266,24605949.42,2.07,2.6,0.44,0.31,000869,17.196,17.366,17.381,0.06494841556519404,0.12330571691771108,-0.11671460270503409
2026-08-21,000869,17.32,16.0,17.35,15.95,51178,83023752.42,8.07,-7.78,-1.35,1.12,000869,16.95,17.212,17.3485,-0.04411062670099142,0.08982244819397059,-0.267866149789924
2026-08-24,000869,15.92,15.93,16.06,15.77,23819,37918545.0,1.81,-0.44,-0.07,0.52,000869,16.68,17.049,17.305,-0.13463710566508524,0.044930537422159425,-0.3591352861744893
2026-08-25,000869,15.92,16.0,16.13,15.88,19311,30926750.45,1.57,0.44,0.07,0.42,000869,16.438,16.905,17.244999999999997,-0.19844403812225409,-0.0037443776867232756,-0.3893993208710616
2026-08-26,000869,16.0,16.1,16.17,15.95,18131,29171513.53,1.38,0.63,0.1,0.4,000869,16.276000000000003,16.758000000000003,17.177,-0.23819654602319673,-0.05063481135401797,-0.3751234693383575
2026-08-27,000869,16.1,16.12,16.17,15.96,12790,20560647.1,1.3,0.12,0.02,0.28,000869,16.03,16.613,17.093,-0.26503174114760597,-0.09351419731273558,-0.3430350876697408
2026-08-28,000869,16.15,16.13,16.18,16.02,12958,20899050.0,0.99,0.06,0.01,0.28,000869,16.056,16.503,17.006999999999998,-0.2822384411322858,-0.13125904607664562,-0.30195879011128035
2026-08-31,000869,16.15,16.04,16.15,15.95,10396,16652494.0,1.24,-0.56,-0.09,0.23,000869,16.078,16.378999999999998,16.918,-0.29968256857176456,-0.16494375057566943,-0.26947763599219027
2026-09-01,000869,15.99,16.22,16.31,15.97,23767,38577018.4,2.12,1.12,0.18,0.52,000869,16.122,16.279999999999998,16.851499999999998,-0.29557545965885623,-0.1910700923923068,-0.20901073453309887
2026-09-02,000869,16.19,16.22,16.35,16.12,15711,25450936.83,1.42,0.0,0.0,0.35,000869,16.145999999999997,16.211,16.788,-0.2889892579788409,-0.21065392550961365,-0.1566706649384545
